fecha,nombre_dia,es_fin_de_semana,feriado
2023-01-01,Sunday,True,True
2023-01-02,Monday,False,True
2023-01-03,Tuesday,False,True
2023-01-04,Wednesday,False,True
2023-01-05,Thursday,False,True
2023-01-06,Friday,False,True
2023-01-07,Saturday,True,True
2023-01-08,Sunday,True,True
2023-01-09,Monday,False,True
2023-01-10,Tuesday,False,True
2023-01-11,Wednesday,False,True
2023-01-12,Thursday,False,True
2023-01-13,Friday,False,True
2023-01-14,Saturday,True,True
2023-01-15,Sunday,True,True
2023-01-16,Monday,False,True
2023-01-17,Tuesday,False,True
2023-01-18,Wednesday,False,True
2023-01-19,Thursday,False,True
2023-01-20,Friday,False,True
2023-01-21,Saturday,True,True
2023-01-22,Sunday,True,True
2023-01-23,Monday,False,True
2023-01-24,Tuesday,False,True
2023-01-25,Wednesday,False,True
2023-01-26,Thursday,False,True
2023-01-27,Friday,False,True
2023-01-28,Saturday,True,True
2023-01-29,Sunday,True,True
2023-01-30,Monday,False,True
2023-01-31,Tuesday,False,True
2023-02-01,Wednesday,False,False
2023-02-02,Thursday,False,False
2023-02-03,Friday,False,False
2023-02-04,Saturday,True,False
2023-02-05,Sunday,True,False
2023-02-06,Monday,False,False
2023-02-07,Tuesday,False,False
2023-02-08,Wednesday,False,False
2023-02-09,Thursday,False,False
2023-02-10,Friday,False,False
2023-02-11,Saturday,True,False
2023-02-12,Sunday,True,False
2023-02-13,Monday,False,False
2023-02-14,Tuesday,False,False
2023-02-15,Wednesday,False,False
2023-02-16,Thursday,False,False
2023-02-17,Friday,False,False
2023-02-18,Saturday,True,False
2023-02-19,Sunday,True,False
2023-02-20,Monday,False,False
2023-02-21,Tuesday,False,False
2023-02-22,Wednesday,False,False
2023-02-23,Thursday,False,False
2023-02-24,Friday,False,False
2023-02-25,Saturday,True,False
2023-02-26,Sunday,True,False
2023-02-27,Monday,False,False
2023-02-28,Tuesday,False,False
2023-03-01,Wednesday,False,False
2023-03-02,Thursday,False,False
2023-03-03,Friday,False,False
2023-03-04,Saturday,True,False
2023-03-05,Sunday,True,False
2023-03-06,Monday,False,False
2023-03-07,Tuesday,False,False
2023-03-08,Wednesday,False,False
2023-03-09,Thursday,False,False
2023-03-10,Friday,False,False
2023-03-11,Saturday,True,False
2023-03-12,Sunday,True,False
2023-03-13,Monday,False,False
2023-03-14,Tuesday,False,False
2023-03-15,Wednesday,False,False
2023-03-16,Thursday,False,False
2023-03-17,Friday,False,False
2023-03-18,Saturday,True,False
2023-03-19,Sunday,True,False
2023-03-20,Monday,False,False
2023-03-21,Tuesday,False,False
2023-03-22,Wednesday,False,False
2023-03-23,Thursday,False,False
2023-03-24,Friday,False,False
2023-03-25,Saturday,True,False
2023-03-26,Sunday,True,False
2023-03-27,Monday,False,False
2023-03-28,Tuesday,False,False
2023-03-29,Wednesday,False,False
2023-03-30,Thursday,False,False
2023-03-31,Friday,False,False
2023-04-01,Saturday,True,False
2023-04-02,Sunday,True,False
2023-04-03,Monday,False,False
2023-04-04,Tuesday,False,False
2023-04-05,Wednesday,False,False
2023-04-06,Thursday,False,False
2023-04-07,Friday,False,False
2023-04-08,Saturday,True,False
2023-04-09,Sunday,True,False
2023-04-10,Monday,False,False
