nombre,tipo,cobertura
OSDE 0,privado,completa
OSDE 1,sindical,premium
Swiss Medical 2,sindical,premium
PAMI 3,sindical,completa
PAMI 4,público,completa
PAMI 5,sindical,premium
OSDE 6,sindical,completa
Galeno 7,público,básica
OSDE 8,sindical,básica
Galeno 9,público,básica
IOMA 10,público,básica
OSDE 11,privado,completa
OSDE 12,privado,básica
OSDE 13,sindical,premium
PAMI 14,público,premium
PAMI 15,privado,básica
Galeno 16,privado,premium
Galeno 17,privado,básica
OSDE 18,privado,básica
Galeno 19,sindical,básica
PAMI 20,privado,premium
Galeno 21,sindical,premium
IOMA 22,público,básica
PAMI 23,sindical,básica
IOMA 24,privado,básica
Galeno 25,público,básica
Swiss Medical 26,público,completa
OSDE 27,sindical,básica
PAMI 28,público,premium
IOMA 29,sindical,básica
Swiss Medical 30,público,completa
Swiss Medical 31,sindical,premium
PAMI 32,privado,completa
PAMI 33,sindical,básica
Swiss Medical 34,sindical,premium
OSDE 35,privado,básica
OSDE 36,sindical,premium
IOMA 37,sindical,premium
OSDE 38,público,premium
Swiss Medical 39,sindical,completa
Swiss Medical 40,público,básica
Galeno 41,privado,completa
Swiss Medical 42,público,completa
OSDE 43,público,básica
IOMA 44,privado,básica
Galeno 45,público,básica
OSDE 46,privado,premium
IOMA 47,sindical,completa
OSDE 48,sindical,completa
Galeno 49,público,completa
Swiss Medical 50,sindical,completa
Galeno 51,privado,completa
Swiss Medical 52,sindical,premium
Galeno 53,privado,básica
PAMI 54,sindical,premium
OSDE 55,público,premium
OSDE 56,sindical,premium
PAMI 57,sindical,básica
Swiss Medical 58,sindical,básica
OSDE 59,privado,completa
PAMI 60,privado,premium
OSDE 61,público,completa
IOMA 62,privado,básica
Swiss Medical 63,sindical,básica
IOMA 64,sindical,básica
Swiss Medical 65,privado,básica
PAMI 66,sindical,premium
Swiss Medical 67,público,completa
Swiss Medical 68,público,básica
PAMI 69,privado,completa
Swiss Medical 70,privado,básica
OSDE 71,público,completa
Galeno 72,público,completa
PAMI 73,privado,básica
Galeno 74,privado,básica
PAMI 75,privado,completa
PAMI 76,sindical,premium
IOMA 77,privado,básica
IOMA 78,privado,básica
Swiss Medical 79,sindical,premium
Galeno 80,público,premium
PAMI 81,privado,básica
Swiss Medical 82,sindical,básica
OSDE 83,privado,básica
PAMI 84,privado,básica
OSDE 85,sindical,completa
Swiss Medical 86,público,completa
IOMA 87,sindical,completa
Swiss Medical 88,privado,básica
OSDE 89,público,completa
PAMI 90,sindical,básica
Galeno 91,sindical,básica
Swiss Medical 92,público,completa
PAMI 93,privado,básica
IOMA 94,sindical,completa
IOMA 95,sindical,completa
IOMA 96,sindical,completa
PAMI 97,privado,completa
Swiss Medical 98,sindical,completa
PAMI 99,público,premium
