fecha,especialidad,duracion_min
2023-10-08,Cardiología,60
2023-08-17,Clínica,60
2023-03-23,Cardiología,30
2023-09-01,Dermatología,60
2023-08-19,Pediatría,60
2023-05-13,Cardiología,60
2023-05-07,Cardiología,15
2023-11-23,Cardiología,15
2023-05-22,Pediatría,45
2023-09-24,Pediatría,30
2023-09-06,Cardiología,60
2023-11-17,Clínica,30
2023-05-03,Pediatría,45
2023-05-21,Pediatría,45
2023-08-14,Pediatría,60
2023-02-09,Traumatología,45
2024-01-01,Cardiología,60
2023-05-27,Clínica,45
2023-05-01,Pediatría,45
2023-05-20,Traumatología,60
2023-06-21,Dermatología,45
2023-06-13,Dermatología,45
2023-10-04,Pediatría,45
2023-02-11,Clínica,30
2023-03-12,Clínica,15
2023-03-19,Cardiología,30
2023-04-29,Pediatría,45
2023-07-16,Dermatología,15
2023-12-22,Cardiología,30
2023-03-20,Clínica,30
2023-12-28,Cardiología,30
2023-04-20,Dermatología,60
2023-02-02,Clínica,45
2023-08-01,Traumatología,45
2023-07-28,Traumatología,15
2023-06-19,Pediatría,30
2023-10-05,Cardiología,45
2023-08-27,Clínica,30
2023-08-01,Pediatría,45
2023-02-01,Cardiología,30
2023-04-16,Dermatología,45
2023-08-04,Clínica,15
2023-07-19,Cardiología,30
2023-10-27,Clínica,45
2023-12-23,Cardiología,15
2023-01-11,Dermatología,15
2023-10-22,Clínica,45
2023-07-14,Traumatología,30
2023-09-02,Dermatología,60
2023-01-04,Cardiología,15
2023-06-30,Clínica,15
2023-06-02,Dermatología,45
2023-07-19,Cardiología,60
2023-08-03,Traumatología,60
2023-10-03,Traumatología,60
2023-10-07,Cardiología,45
2023-11-05,Traumatología,30
2023-04-23,Dermatología,15
2023-09-07,Traumatología,45
2023-04-23,Pediatría,60
2023-05-20,Traumatología,15
2023-08-12,Pediatría,15
2023-09-06,Clínica,60
2023-01-15,Dermatología,60
2023-07-19,Clínica,15
2023-06-22,Clínica,15
2023-12-09,Traumatología,30
2023-12-14,Traumatología,30
2023-07-27,Traumatología,45
2023-03-26,Clínica,15
2023-08-28,Dermatología,30
2023-03-07,Dermatología,15
2023-11-15,Pediatría,60
2023-10-01,Cardiología,30
2023-01-14,Dermatología,60
2023-07-21,Traumatología,60
2023-10-31,Pediatría,60
2023-10-16,Traumatología,45
2023-12-06,Clínica,60
2023-01-14,Clínica,45
2023-02-12,Traumatología,15
2023-11-26,Dermatología,15
2023-08-08,Cardiología,30
2023-03-11,Traumatología,30
2023-08-25,Dermatología,45
2023-04-04,Pediatría,15
2023-01-26,Traumatología,30
2023-05-14,Pediatría,30
2023-07-14,Dermatología,30
2023-06-17,Dermatología,15
2023-04-19,Dermatología,30
2023-08-21,Dermatología,15
2023-06-17,Clínica,60
2023-06-22,Dermatología,60
2023-07-14,Clínica,60
2023-05-23,Cardiología,45
2023-08-04,Clínica,15
2023-05-10,Pediatría,30
2023-02-11,Cardiología,45
2023-08-29,Pediatría,45
